Apple ID Number,Device Identifier,Device Name,Device Serial Number,Associated Date,Latest Device User Agent String
1332525800,4d09c5bfe3dfe758cf0a794309c8b24962105ec9,MrHuman’s iDevice,C39RTZXEGRX5,2017-09-19T10:04:35Z,"itunesstored/1.0 iOS/12.4.1 model/iPhone8,2 hwp/s8003 build/16G102 (6; dt:142)"
1332525800,9c18ba478c4d5af00e560fa081358f04a3a1ac44,Peter’s iPhone,F2LQKH1GGRWT,2017-09-05T06:52:22Z,"itunescloudd/1.0 iOS/10.3.1 model/iPhone8,2 hwp/s8000 build/14E304 (6; dt:121)"
1332525800,0EDA1FC9.6AE32B5E.572C6BE7.F007530E.481E235C.1F9269E8.C5A0EF10,DEEPTHUNKX1000,,2017-02-02T08:36:35Z,iTunes/12.9.4 (Windows; Microsoft Windows 10 x64 Home Premium Edition (Build 18362); x64) AppleWebKit/7607.1039.0.44 (dt:2)
1332525800,0EDA1FC9.A01B5C92.7267FFBE.F007530E.F47F73EB.5411C850.7DAEFA74,DEEPTHUNKV2,,2017-01-20T02:06:08Z,iTunes/12.5.5 (Windows; Microsoft Windows 10.0 x64 Home Premium Edition (Build 14393); x64) AppleWebKit/7602.4008.0.22
1332525800,4ED4E758.A01B5C92.2883A281.2DBB3B4F.84F5AE63.5411C850.7DAEFA74,DEEPTHUNKV2,,2016-07-31T00:31:16Z,iTunes/12.5.4 (Windows; Microsoft Windows 10.0 x64 Home Premium Edition (Build 14393); x64) AppleWebKit/7602.3012.0.11
1332525800,f19c85b449b46fd3c24327f8d53689bd70cb4d7a,Pete's iPhone,C39LF2TRFFFL,2016-03-23T09:17:37Z,"itunesstored/1.0 iOS/10.3.3 model/iPhone6,1 hwp/s5l8960x build/14G60 (6; dt:89)"
1332525800,56FE50CB.6991D940.C21E730A.3DE58668.4BB5E9CD.B779DECE.0EB3BD6D,SURFACEPRO,,2016-01-21T22:41:59Z,iTunes/12.9.2 (Windows; Microsoft Windows 10 x64 Professional Edition (Build 17134); x64) AppleWebKit/7606.3004.0.12 (dt:2)
1332525800,68E773B642CFF5EA00AE2F0341EA60C2779B1835,Apple TV (3),C07P6A11FF54,2015-04-16T13:51:17Z,"itunesstored/1.0 iOS/8.1.1 AppleTV/7.0.2 model/AppleTV3,2 build/12B435 (3; dt:12)"
1332525800,94DE80C1CB0B,Peter’s Mac Pro,,2014-02-21T01:31:05Z,iTunes/12.3.3 (Macintosh; OS X 10.10.5) AppleWebKit/600.8.9
1332525800,E49568A7.F1750273.00000000.2DBB3B4F.BFA672FC.E5A403E6.662208C0,DEEPTHUNK,,2014-02-20T06:32:14Z,iTunes/11.1.4 (Windows; Microsoft Windows 7 x64 Home Premium Edition Service Pack 1 (Build 7601)) AppleWebKit/537.60.11
1332525800,94DE80C1CB0B,Mac,,2014-01-15T13:02:31Z,MacAppStore/1.3 (Macintosh; OS X 10.9.1) AppleWebKit/537.73.11
1332525800,D49A20D6B93E,Mac,W895100G36Z9A,2013-08-26T02:51:02Z,MacAppStore/1.2.2 (Macintosh; U; Intel Mac OS X 10.8.5; en) AppleWebKit/536.30.1
1332525800,D49A20D6B93E,Peter Newman’s MacBook Pro,,2011-08-06T18:06:39Z,iTunes/12.3 (Macintosh; OS X 10.10.4) AppleWebKit/600.7.12
1332525800,a669b0843879539a0cccc08870bf75308740a3b1,Pete's iPhone,86049YTEA4S,2011-03-17T12:05:39Z,"itunescloudd/1.0 iOS/7.1.2 model/iPhone3,1 build/11D257 (4; dt:27)"
