"Feed URL","Episode ID",Visible?,"Marked as played on","Manually set","Is New?","Last played on","Playback position","Play count","Has been played?"
"http://20khz.libsyn.com/rss","8833e0c4-fa2d-11e8-80b0-2f311bc882fa",,,No,No,2018-12-20T13:14:26Z,0.000,1,Yes
"http://20khz.libsyn.com/rss","8c2b893a-73d1-11e8-af5f-dff4bc30504e",,,No,No,2018-06-28T21:40:30Z,0.000,1,Yes
"http://20khz.libsyn.com/rss","904dca52-e516-11e9-9d0f-775bf794b6b3",,,No,Yes,,0.000,0,No
"http://20khz.libsyn.com/rss","908ca1b2-c981-11e7-bb09-6bca07420eae",,,No,No,2018-05-04T22:58:04Z,0.000,20,Yes
"http://20khz.libsyn.com/rss","97dec64a-5485-11e8-b793-7f84887062e4",,,No,No,2018-05-22T20:37:22Z,0.000,1,Yes
"http://20khz.libsyn.com/rss","97f0b3d6-3469-11e9-87f8-f3ee978f32bb",,,No,No,2019-04-04T10:12:40Z,0.000,8,Yes
"http://20khz.libsyn.com/rss","9e1179f8-c980-11e7-871d-9f17f42f25d1",,,No,No,2018-02-01T02:58:17Z,14.006,2,Yes
"http://20khz.libsyn.com/rss","a59b192e-9403-11e8-80bc-f76a37b32d47",,,No,No,2018-08-13T06:36:47Z,0.000,1,Yes
"http://20khz.libsyn.com/rss","ac23f5bc7c99c237c728c9083d8086ee",,,No,No,2017-07-26T12:39:42Z,,,
"http://20khz.libsyn.com/rss","ae5cfcd2-4b44-11e9-9878-df9d71be65f1",,,No,No,2019-04-14T00:33:37Z,0.000,1,Yes
"http://20khz.libsyn.com/rss","ae68280c-8193-11e9-a13a-4b0f64c5a7d1",,,No,No,2019-09-16T07:27:36Z,0.000,3,Yes
"http://20khz.libsyn.com/rss","af3f1a52034598f9b32b36735c3120ef",,,No,No,2017-07-30T09:56:54Z,,,
"http://20khz.libsyn.com/rss","b04a0e3a-c978-11e7-814a-df84b84a3904",,,No,No,2017-12-21T04:27:32Z,0.000,1,Yes
"http://20khz.libsyn.com/rss","b4bef5e4a863c2f8c6afb510b38382cc",,,No,No,2017-07-26T10:16:42.999Z,,,
"http://20khz.libsyn.com/rss","b91708ae-cd6b-11e8-9e05-ff324d21e425",,,No,No,2018-10-24T00:10:46Z,0.000,1,Yes
"http://20khz.libsyn.com/rss","c06a84dd8c75286b9df405b7afdeb47f",,,No,No,2017-10-18T08:28:38Z,0.000,1,Yes
"http://20khz.libsyn.com/rss","c0f09f6c-04a8-11e9-b47a-a714d58c31e2",,,No,No,2019-01-13T03:14:20Z,0.000,1,Yes
"http://20khz.libsyn.com/rss","c7844e34aa084cfb03dea45cc2b96e5f",,,No,No,2017-07-30T01:04:52Z,,,
"http://20khz.libsyn.com/rss","cb572f12-c97f-11e7-8110-5b37d89b6178",,,No,No,2018-02-01T02:13:23Z,0.000,1,Yes
"http://20khz.libsyn.com/rss","cba2ff84f3abb4461e565e8f26201b46",,,No,No,2017-08-23T14:13:48Z,,,
"http://20khz.libsyn.com/rss","cf591ad4-c1f0-11e8-aee7-3fde69dd2122",,,No,No,2018-10-04T05:46:54Z,0.000,1,Yes
"http://20khz.libsyn.com/rss","d08b14c4-b81e-11e8-952f-0fee51f3e69c",,,No,No,2018-09-30T02:32:06Z,0.000,1,Yes
"http://20khz.libsyn.com/rss","d0f53d78-c45b-11e9-b164-af1a46ee5d6a",,,No,No,2019-10-13T21:45:28.010Z,0.000,1,Yes
"http://20khz.libsyn.com/rss","d102b48c-d4b2-11e9-8e70-c7456046f985",,,No,No,2019-10-15T00:28:55.114Z,0.000,1,Yes
"http://20khz.libsyn.com/rss","d35fe080-1cba-11e8-9568-5f8c0e273ee6",,,No,No,2018-05-07T21:06:27.805Z,124.001,11,Yes
"http://20khz.libsyn.com/rss","e084128741005400277e0a5b2c5dae12",,,No,No,2017-09-23T05:37:30Z,,,
"http://20khz.libsyn.com/rss","e0d7100b69dff43a6815e96f267675c9",,,No,No,2017-07-26T10:03:24.588Z,,,
"http://20khz.libsyn.com/rss","e210cb507de9cbbc2a30b678acab8e57",,,No,No,2017-07-30T00:15:43Z,,,
"http://20khz.libsyn.com/rss","e2cbcde0-c02e-11e9-88c7-6f56c843a07a",,,No,No,2019-10-12T08:02:27.483Z,0.000,1,Yes
"http://20khz.libsyn.com/rss","e36e1553a04dc17da800b0a05c86072b",,,No,No,2017-07-27T10:19:27Z,,,
"http://20khz.libsyn.com/rss","eb514ae4-a7a7-11e8-954e-4fd0071fe8d0",,,No,No,2018-09-17T21:33:00Z,0.000,1,Yes
"http://20khz.libsyn.com/rss","ebc51abc6afe661c5951ce270c0c5b8f",,,No,No,2017-09-06T07:13:39Z,,,
"http://20khz.libsyn.com/rss","f05209f6-56e4-11e9-9ce2-233964b0905a",,,No,No,2019-04-17T03:59:24Z,0.000,1,Yes
"http://20khz.libsyn.com/rss","f188eb940a3ea56996639b37b1026996",,,No,No,2017-10-11T07:59:36Z,,,
"http://20khz.libsyn.com/rss","f3aa7b6a-8d49-11e9-835a-7b164eac2e87",,,No,No,2019-08-09T14:32:58Z,0.000,1,Yes
"http://20khz.libsyn.com/rss","f66d5ffe-04c5-11ea-a709-932732d233c3",,,No,Yes,,0.000,0,No
"http://20khz.libsyn.com/rss","f9394d6c-808f-11e8-bc0c-47064e6a051b",,,No,No,2018-07-30T06:33:58Z,0.000,1,Yes
"http://20khz.libsyn.com/rss","fa2ecb20-5fa5-11e9-be2a-9b97ce100291",,,No,No,2019-04-28T01:51:51Z,0.000,1,Yes
"http://20khz.libsyn.com/rss","fc06bc22-c97f-11e7-8752-13c382e24981",,,No,No,2018-02-01T02:13:50Z,26.001,2,Yes
"http://20khz.libsyn.com/rss","fd80943e5a7740caaf5147e162c22608",,,No,No,2017-11-15T10:06:40Z,0.000,1,Yes
"http://feed.thisamericanlife.org/talpodcast","6965 at https://www.thisamericanlife.org",,,No,Yes,,,,
"http://feed.thisamericanlife.org/talpodcast","7169 at https://www.thisamericanlife.org",,,No,Yes,,,,
"http://feed.thisamericanlife.org/talpodcast","7346 at https://www.thisamericanlife.org",,,No,Yes,,,,
"http://feed.thisamericanlife.org/talpodcast","7350 at https://www.thisamericanlife.org",,,No,Yes,,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1003",,,No,No,2016-07-01T07:56:29.519Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1005",,,Yes,No,2016-07-01T08:15:12.954Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1012",,,No,No,2016-07-01T08:31:55.218Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1015",,,No,No,2016-07-01T08:50:45.409Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1020",,,No,No,2016-07-01T09:17:35.284Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1023",,,Yes,No,2016-07-01T10:10:24.349Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1026",,,No,No,2016-07-01T10:14:16.306Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1033",,,No,No,2016-07-01T10:44:38.070Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1038",,,No,No,2016-07-01T11:05:46.214Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1042",,,No,No,2016-07-01T11:37:22.362Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1045",,,No,No,2016-07-02T03:02:14.718Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1048",,,No,No,2016-07-02T03:21:22.147Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1052",,,No,No,2016-07-02T03:43:09.543Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1055",,,No,No,2016-07-02T03:58:25.786Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1059",,,No,No,2016-07-02T04:23:18.732Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1062",,,No,No,2016-07-02T04:40:33.596Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1066",,,No,No,2016-07-02T04:55:11.849Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1070",,,No,No,2016-07-02T05:12:46.660Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1073",,,No,No,2016-07-02T05:28:44.283Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1076",,,No,No,2016-07-02T05:47:12.803Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1080",,,No,No,2016-07-05T21:32:17.547Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1086",,,No,No,2016-07-05T21:48:09.161Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1088",,,No,No,2016-07-05T22:07:12.152Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1094",,,No,No,2016-07-05T22:30:07.239Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1096",,,No,No,2016-07-05T22:35:50.408Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1104",,,No,No,2016-07-05T22:56:37.759Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1107",,,No,No,2016-07-05T23:18:20.782Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1111",,,No,No,2016-07-06T07:52:10.947Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1123",,,No,No,2016-07-07T04:52:02.377Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1136",,,No,No,2016-07-07T05:39:24Z,,,
